Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1999-04-23,1850.18,1850.18,1850.18,1850.18,0,0,0
1999-04-26,1854.53,1854.53,1854.53,1854.53,0,0,0
1999-04-27,1858.29,1858.29,1858.29,1858.29,0,0,0
1999-04-28,1842.22,1842.22,1842.22,1842.22,0,0,0
1999-04-29,1831.53,1831.53,1831.53,1831.53,0,0,0
1999-04-30,1821.11,1821.11,1821.11,1821.11,0,0,0
1999-05-03,1847.63,1847.63,1847.63,1847.63,0,0,0
1999-05-04,1816.79,1816.79,1816.79,1816.79,0,0,0
1999-05-05,1838.08,1838.08,1838.08,1838.08,0,0,0
1999-05-06,1817.39,1817.39,1817.39,1817.39,0,0,0
1999-05-07,1835.06,1835.06,1835.06,1835.06,0,0,0
1999-05-10,1829.16,1829.16,1829.16,1829.16,0,0,0
1999-05-11,1850.16,1850.16,1850.16,1850.16,0,0,0
1999-05-12,1861.97,1861.97,1861.97,1861.97,0,0,0
1999-05-13,1866.87,1866.87,1866.87,1866.87,0,0,0
1999-05-14,1826.31,1826.31,1826.31,1826.31,0,0,0
1999-05-17,1828.67,1828.67,1828.67,1828.67,0,0,0
1999-05-18,1820.36,1820.36,1820.36,1820.36,0,0,0
1999-05-19,1835.33,1835.33,1835.33,1835.33,0,0,0
1999-05-20,1828.05,1828.05,1828.05,1828.05,0,0,0
1999-05-21,1816.41,1816.41,1816.41,1816.41,0,0,0
1999-05-24,1784.14,1784.14,1784.14,1784.14,0,0,0
1999-05-25,1753.79,1753.79,1753.79,1753.79,0,0,0
1999-05-26,1781.84,1781.84,1781.84,1781.84,0,0,0
1999-05-27,1750.19,1750.19,1750.19,1750.19,0,0,0
1999-05-28,1778.1,1778.1,1778.1,1778.1,0,0,0
1999-06-01,1767.8,1767.8,1767.8,1767.8,0,0,0
1999-06-02,1768.92,1768.92,1768.92,1768.92,0,0,0
1999-06-03,1775.4,1775.4,1775.4,1775.4,0,0,0
1999-06-04,1813.97,1813.97,1813.97,1813.97,0,0,0
1999-06-07,1823.29,1823.29,1823.29,1823.29,0,0,0
1999-06-08,1799.87,1799.87,1799.87,1799.87,0,0,0
1999-06-09,1801.79,1801.79,1801.79,1801.79,0,0,0
1999-06-10,1780.19,1780.19,1780.19,1780.19,0,0,0
1999-06-11,1768.04,1768.04,1768.04,1768.04,0,0,0
1999-06-14,1768.56,1768.56,1768.56,1768.56,0,0,0
1999-06-15,1778.36,1778.36,1778.36,1778.36,0,0,0
1999-06-16,1818.4,1818.4,1818.4,1818.4,0,0,0
1999-06-17,1831.45,1831.45,1831.45,1831.45,0,0,0
1999-06-18,1835.48,1835.48,1835.48,1835.48,0,0,0
1999-06-21,1843.93,1843.93,1843.93,1843.93,0,0,0
1999-06-22,1826.0,1826.0,1826.0,1826.0,0,0,0
1999-06-23,1822.17,1822.17,1822.17,1822.17,0,0,0
1999-06-24,1798.55,1798.55,1798.55,1798.55,0,0,0
1999-06-25,1797.91,1797.91,1797.91,1797.91,0,0,0
1999-06-28,1820.09,1820.09,1820.09,1820.09,0,0,0
1999-06-29,1847.59,1847.59,1847.59,1847.59,0,0,0
1999-06-30,1876.78,1876.78,1876.78,1876.78,0,0,0
1999-07-01,1888.15,1888.15,1888.15,1888.15,0,0,0
1999-07-02,1902.18,1902.18,1902.18,1902.18,0,0,0
1999-07-06,1898.15,1898.15,1898.15,1898.15,0,0,0
1999-07-07,1909.13,1909.13,1909.13,1909.13,0,0,0
1999-07-08,1907.28,1907.28,1907.28,1907.28,0,0,0
1999-07-09,1919.4,1919.4,1919.4,1919.4,0,0,0
1999-07-12,1913.69,1913.69,1913.69,1913.69,0,0,0
1999-07-13,1906.19,1906.19,1906.19,1906.19,0,0,0
1999-07-14,1912.54,1912.54,1912.54,1912.54,0,0,0
1999-07-15,1928.21,1928.21,1928.21,1928.21,0,0,0
1999-07-16,1940.76,1940.76,1940.76,1940.76,0,0,0
1999-07-19,1925.55,1925.55,1925.55,1925.55,0,0,0
1999-07-20,1883.76,1883.76,1883.76,1883.76,0,0,0
1999-07-21,1886.86,1886.86,1886.86,1886.86,0,0,0
1999-07-22,1861.83,1861.83,1861.83,1861.83,0,0,0
1999-07-23,1856.31,1856.31,1856.31,1856.31,0,0,0
